id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,588,0,0
2,0,91,,,,0,0
3,3.58209,1,3,5,0,0,0
4,4.477612,1,3,5,0,0,0
5,5.373134,1,3,5,0,0,0
6,6.044776,1,3,5,0,0,0
7,6.268657,2,4,2,0,0,0
8,6.492537,2,4,2,0,0,0
9,7.164179,1,3,5,0,0,0
10,8.059701,1,3,5,0,0,0
11,8.955224,1,3,5,0,0,0
12,9.626866,1,3,5,0,0,0
13,9.850746,1,3,4,0,0,0
14,9.962687,1,3,2,0,0,0
15,10.074627,1,4,4,2,0,1
16,10.130597,1,4,5,2,0,1
17,10.522388,1,2,2,1,1,2
18,10.522388,1,4,5,0,1,0
19,10.578358,1,2,1,1,0,2
20,10.746269,1,2,2,1,1,3
21,10.746269,1,4,5,0,1,0
22,10.802239,1,2,1,1,0,3
23,10.970149,1,4,5,0,0,0
24,11.19403,1,4,5,0,1,0
25,11.19403,1,2,2,1,1,4
26,11.25,1,2,1,1,0,4
27,11.41791,1,4,3,0,0,0
28,11.641791,1,3,2,0,0,0
29,11.865672,2,4,5,0,1,0
30,11.865672,1,2,1,0,1,0
31,12.313433,1,2,2,0,0,0
32,12.649254,2,2,1,0,0,0
33,12.761194,2,2,1,0,0,0
34,12.985075,1,2,2,0,0,0
35,13.320896,1,2,3,0,0,0
36,13.656716,2,4,5,0,1,0
37,13.656716,1,2,2,0,1,0
38,13.880597,1,2,1,0,0,0
39,14.104478,1,4,3,0,0,0
40,14.328358,1,4,3,0,1,0
41,14.328358,1,2,1,0,1,0
42,14.552239,1,4,3,0,0,0
43,14.776119,1,4,3,0,1,0
44,14.776119,1,2,1,0,1,0
45,15,1,5,4,0,0,0
46,15.223881,1,4,5,0,1,0
47,15.223881,1,2,1,0,1,0
48,15.447761,2,3,4,0,1,0
49,15.447761,1,3,2,0,1,0
50,15.671642,1,2,1,0,0,0
51,15.895522,2,3,4,0,0,0
52,16.119403,1,2,1,0,0,0
53,16.343284,1,5,4,0,0,0
54,16.567164,1,5,4,0,1,0
55,16.567164,1,2,1,0,1,0
56,16.791045,1,4,5,0,0,0
57,17.014925,1,4,3,0,1,0
58,17.014925,1,2,1,0,1,0
59,17.238806,2,4,3,0,0,0
60,17.462687,1,2,1,0,0,0
61,17.910448,1,2,1,0,0,0
62,18.358209,2,4,3,0,1,0
63,18.358209,1,2,1,0,1,0
64,18.58209,1,4,3,0,0,0
65,18.80597,1,3,2,0,0,0
66,19.029851,1,4,3,0,0,0
67,19.253731,1,4,5,0,1,0
68,19.253731,1,2,1,0,1,0
69,19.701493,1,3,2,0,0,0
70,19.925373,2,4,3,0,1,0
71,19.925373,1,2,1,0,1,0
72,20.373134,2,4,3,0,1,0
73,20.373134,2,2,1,0,1,0
74,20.820896,2,2,1,0,1,0
75,20.820896,1,3,4,0,1,0
76,21.268657,2,1,2,0,0,0
77,21.716418,2,1,2,0,1,0
78,21.716418,2,4,3,0,1,0
79,22.164179,2,4,3,0,1,0
80,22.164179,1,2,1,0,1,0
81,22.38806,1,4,5,0,0,0
82,22.61194,2,4,5,0,1,0
83,22.61194,1,1,2,0,1,0
84,23.059701,1,4,5,2,0,0
85,23.283582,2,2,3,0,0,0
86,23.731343,2,2,3,0,1,0
87,23.731343,1,5,5,0,1,0
88,23.955224,1,3,4,0,0,0
89,24.067164,1,3,2,0,0,0
90,24.179104,1,3,4,0,0,0
91,24.291045,1,3,2,0,0,0
92,24.402985,1,4,4,2,0,5
93,24.458955,1,4,5,2,0,5
94,25.522388,2,4,5,0,0,0
95,25.746269,2,4,5,0,0,0
96,25.970149,1,3,3,0,0,0
97,26.19403,2,3,3,0,1,0
98,26.19403,1,2,1,0,1,0
99,26.865672,1,2,1,0,0,0
100,27.761194,1,2,1,0,0,0
101,27.985075,1,3,3,2,0,0
102,28.656716,1,2,1,0,0,0
103,29.552239,1,5,5,0,0,0
104,29.776119,1,2,1,0,1,0
105,29.776119,1,3,3,0,1,0
106,30.447761,1,2,1,0,0,0
107,31.343284,2,3,4,0,0,0
108,31.455224,2,3,4,0,0,0
109,31.567164,2,3,2,0,0,0
110,31.679104,2,3,2,0,0,0
111,31.791045,1,3,3,0,0,0
112,32.238806,1,3,4,0,1,0
113,32.238806,1,3,2,0,1,0
114,32.462687,1,3,3,1,1,6
115,32.462687,2,4,5,0,1,0
116,32.518657,1,3,1,1,0,6
117,33.134328,2,4,5,0,1,0
118,33.134328,1,3,2,0,1,0
119,33.58209,1,2,2,0,1,0
120,33.58209,2,5,4,0,1,0
121,33.80597,2,5,4,0,0,0
122,34.029851,1,5,4,0,1,0
123,34.029851,1,2,1,0,1,0
124,34.253731,1,5,4,0,0,0
125,34.701493,1,5,4,0,0,0
126,34.925373,1,5,4,0,1,0
127,34.925373,1,2,1,0,1,0
128,35.149254,1,5,4,0,0,0
129,35.373134,2,4,3,0,1,0
130,35.373134,1,2,2,0,1,0
131,35.597015,2,4,3,0,0,0
132,35.820896,1,5,4,0,1,0
133,35.820896,1,2,1,0,1,0
134,36.044776,1,4,3,0,0,0
135,36.716418,1,2,1,0,0,0
136,36.940299,1,4,3,0,0,0
137,37.164179,1,5,4,0,1,0
138,37.164179,1,2,2,0,1,0
139,37.38806,1,5,4,0,0,0
140,37.61194,1,5,4,0,1,0
141,37.61194,1,2,1,0,1,0
142,37.835821,1,5,4,0,0,0
143,38.283582,2,5,4,0,0,0
144,38.507463,2,5,4,0,1,0
145,38.507463,1,2,1,0,1,0
146,38.731343,2,4,5,0,0,0
147,38.955224,2,4,5,0,1,0
148,38.955224,1,2,2,0,1,0
149,39.179104,1,4,3,0,0,0
150,39.402985,1,4,3,0,1,0
151,39.402985,1,2,1,0,1,0
152,39.626866,1,4,3,0,0,0
153,39.850746,1,2,2,0,0,0
154,40.074627,1,3,4,0,0,0
155,40.298507,1,4,3,0,1,0
156,40.298507,1,2,1,0,1,0
157,40.522388,2,3,4,0,0,0
158,40.746269,1,2,2,0,0,0
159,41.19403,2,3,4,0,1,0
160,41.19403,1,2,1,0,1,0
161,41.865672,1,4,3,0,0,0
162,42.089552,1,4,3,0,1,0
163,42.089552,1,2,1,0,1,0
164,42.313433,1,4,3,0,0,0
165,42.537313,1,4,5,0,1,0
166,42.537313,1,2,2,0,1,0
167,42.873134,1,5,4,0,0,0
168,42.985075,1,2,1,0,0,0
169,43.208955,1,4,3,0,0,0
170,43.432836,1,2,2,0,0,0
171,43.768657,1,5,4,0,0,0
172,43.880597,1,2,1,0,0,0
173,44.104478,1,3,2,0,0,0
174,44.328358,2,5,4,0,1,0
175,44.328358,1,2,2,0,1,0
176,44.776119,2,5,4,0,1,0
177,44.776119,1,2,1,0,1,0
178,45,2,4,3,0,0,0
179,45.223881,1,2,2,0,0,0
180,45.671642,2,4,3,0,1,0
181,45.671642,1,2,1,0,1,0
182,45.895522,1,3,4,0,1,0
183,45.895522,2,3,2,0,1,0
184,46.567164,2,3,2,0,0,0
185,46.791045,1,4,3,0,1,0
186,46.791045,2,3,2,0,1,0
187,47.462687,2,3,2,0,0,0
188,47.910448,1,2,2,0,1,0
189,47.910448,1,5,4,0,1,0
190,48.134328,1,5,4,0,0,0
191,48.358209,1,2,1,0,1,0
192,48.358209,1,5,4,0,1,0
193,48.58209,1,5,4,0,0,0
194,48.80597,1,5,4,0,0,0
195,49.141791,1,4,5,0,0,0
196,49.253731,1,2,1,0,0,0
197,49.477612,1,5,4,0,0,0
198,49.701493,1,2,2,0,1,0
199,49.701493,1,5,4,0,1,0
200,50.149254,1,2,1,0,1,0
201,50.149254,1,4,3,0,1,0
202,50.373134,2,4,3,0,0,0
203,50.820896,2,4,3,0,0,0
204,51.044776,1,2,1,0,0,0
205,51.492537,1,2,2,0,1,0
206,51.492537,1,5,4,0,1,0
207,51.940299,1,2,1,0,1,0
208,51.940299,1,5,4,0,1,0
209,52.38806,1,4,5,0,0,0
210,52.723881,1,5,4,0,0,0
211,52.835821,1,2,1,0,0,0
212,53.059701,1,4,3,0,0,0
213,53.283582,1,2,2,0,1,0
