id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,97,0,0
2,0,91,,,,0,0
3,2.910855,1,5,4,0,0,0
4,4.366283,1,1,2,0,0,0
5,5.82171,1,5,4,0,0,0
6,7.277138,1,1,2,0,0,0
7,8.732565,2,3,4,0,0,0
8,10.187993,2,3,4,0,0,0
9,11.64342,2,4,3,0,0,0
10,13.098848,2,4,3,0,0,0
11,14.554275,2,3,4,0,0,0
12,16.009703,2,3,4,0,0,0
13,17.46513,2,4,3,0,0,0
14,18.920558,2,4,3,0,0,0
15,20.375985,1,2,2,0,0,0
16,23.286841,1,4,4,0,0,0
17,26.197696,1,1,1,0,0,0
18,27.653123,1,5,5,0,0,0
19,29.108551,2,3,3,0,0,0
20,30.563978,2,3,3,0,0,0
21,32.019406,1,2,2,0,0,0
22,34.930261,1,4,4,0,0,0
23,37.841116,1,1,1,0,0,0
24,39.296543,1,5,5,0,0,0
25,40.751971,2,3,3,0,0,0
26,42.207398,2,3,3,0,0,0
27,43.662826,1,5,5,0,0,0
28,45.118253,1,1,1,0,0,0
29,46.573681,1,2,2,0,0,0
30,48.029109,1,4,4,0,0,0
31,49.484536,1,5,5,0,0,0
32,50.939964,1,1,1,0,0,0
33,52.395391,2,1,2,0,0,0
34,53.123105,2,1,2,0,0,0
35,53.850819,2,4,5,0,0,0
36,54.578532,2,4,5,0,0,0
37,55.306246,2,5,4,0,0,0
38,56.761674,2,5,4,0,0,0
39,58.217101,1,2,1,0,1,0
40,58.217101,1,4,5,0,1,0
41,59.672529,1,1,2,0,1,0
42,59.672529,1,4,5,0,1,0
43,61.127956,1,2,1,0,1,0
44,61.127956,1,5,4,0,1,0
45,62.583384,1,5,5,0,0,0
46,64.038811,1,2,2,0,0,0
47,65.494239,1,1,1,0,0,0
48,66.949666,1,3,3,0,0,0
49,68.405094,1,5,5,0,0,0
50,69.860522,1,1,2,0,1,0
51,69.860522,1,5,4,0,1,0
52,71.315949,1,1,2,0,1,0
53,71.315949,1,4,5,0,1,0
54,72.771377,1,5,4,0,1,0
55,72.771377,1,2,1,0,1,0
56,74.226804,1,5,5,0,0,0
57,75.682232,1,2,2,0,0,0
58,77.137659,1,3,3,0,0,0
59,78.593087,2,3,4,0,0,0
60,79.684657,2,3,4,0,0,0
61,80.048514,2,3,2,0,0,0
62,81.140085,2,3,2,0,0,0
63,81.503942,1,2,1,0,1,0
64,81.503942,1,4,5,0,1,0
65,82.959369,1,1,2,0,1,0
66,82.959369,1,4,5,0,1,0
67,84.414797,1,2,1,0,1,0
68,84.414797,1,5,4,0,1,0
69,85.870224,1,5,5,0,0,0
70,87.325652,1,2,2,0,0,0
71,88.781079,1,1,1,0,0,0
72,90.236507,1,4,4,0,0,0
73,91.691935,1,5,5,0,0,0
74,93.147362,1,1,2,0,1,0
75,93.147362,1,5,4,0,1,0
76,94.60279,1,1,2,0,1,0
77,94.60279,1,4,5,0,1,0
78,96.058217,1,5,4,0,1,0
79,96.058217,1,2,1,0,1,0
80,97.513645,1,5,5,0,0,0
81,98.969072,1,4,4,0,0,0
82,100.4245,1,2,2,0,0,0
83,101.879927,2,3,4,0,0,0
84,102.971498,2,3,4,0,0,0
85,103.335355,2,3,2,0,0,0
86,104.426925,2,3,2,0,0,0
87,104.790782,2,3,4,0,0,0
88,106.24621,2,3,4,0,0,0
89,107.701637,2,4,3,0,0,0
90,109.157065,2,4,3,0,0,0
91,110.612492,2,3,4,0,0,0
92,112.06792,2,3,4,0,0,0
93,113.523347,2,4,3,0,0,0
94,114.978775,2,4,3,0,0,0
95,116.434203,1,1,1,0,0,0
96,117.88963,2,3,2,0,1,0
97,117.88963,2,4,5,0,1,0
98,118.435415,2,3,2,0,1,0
99,118.435415,2,4,5,0,1,0
100,120.800485,92,,,,0,0
